mse-inside,mse_outside,const satisfaction-train,const satisfaction-test,l_1 norm,l_2 norm,l_inf norm,selected nodes,feasibility,cost,,,,,
0.959511459,1.177959681,1,0.970588235,3.151987466,1.40088688,1.009170808,"[0, 1, 3, 6, 8]","['f', 'f', 'f']",2529.44172,max_weight_bound,1,cost weights,[1. 1.],08:56.4
0.397346646,0.712285161,0.662790698,0.676470588,4.50653324,1.818105047,1.13564837,"[0, 1, 4, 5, 7]","['f', 'f', 'f']",2510.618081,max_weight_bound,1,cost weights,[1. 1.],09:36.0
0.0182319,0.037711352,1,1,1.678957558,0.522600183,0.209741672,"[0, 1, 2, 6, 7]","['f', 'f']",2449.179823,max_weight_bound,1,cost weights,[1. 1.],07:18.6
0.023753688,0.042649977,1,1,3.50371484,1.210875631,0.569981001,"[0, 2, 6, 7, 8]","['f', 'f']",2448.403844,max_weight_bound,1,cost weights,[1. 1.],14:39.2
0.018062081,0.037800159,1,1,1.662217059,0.522356419,0.209741672,"[0, 1, 2, 3, 4]","['f', 'f']",2444.357748,max_weight_bound,1,cost weights,[1. 1.],06:39.8
1.23558259,1.641671658,0.61627907,0.617647059,10.99749568,3.121870768,1.125050277,"[0, 4, 5, 7, 8]","['nf', 'f', 'f']",2431.35715,max_weight_bound,1,cost weights,[1. 1.],16:50.0
0.020184312,0.034865621,1,0.970588235,1.300447413,0.513720531,0.258350213,"[0, 1, 3, 4, 5]","['f', 'f']",2429.851163,max_weight_bound,1,cost weights,[1. 1.],07:38.2
0.971841514,0.892605305,1,0.970588235,5.668973736,1.767115638,1.100206301,"[0, 2, 3, 4, 8]","['f', 'f', 'f']",2429.134216,max_weight_bound,1,cost weights,[1. 1.],11:42.9
0.970359921,0.88796097,1,1,4.463648165,1.479485457,1.104298398,"[0, 3, 4, 5, 8]","['nf', 'f', 'f']",2428.08588,max_weight_bound,1,cost weights,[1. 1.],15:35.2
1.33693099,1.855939627,0.662790698,0.676470588,6.406327798,2.237417349,1.135726094,"[0, 1, 5, 7, 8]","['f', 'f', 'f']",2381.881557,max_weight_bound,1,cost weights,[1. 1.],10:41.7
0.019802812,0.034272965,1,0.970588235,1.251622482,0.513090931,0.258350213,"[0, 1, 4, 5, 6]","['f', 'f', 'f']",2353.503708,max_weight_bound,1,cost weights,[1. 1.],09:20.1
1.036879301,0.934420764,1,1,3.725052728,1.36905378,1.086193129,"[0, 1, 2, 3, 8]","['f', 'f', 'f']",2349.290631,max_weight_bound,1,cost weights,[1. 1.],06:50.8
0.962903321,1.154639363,1,0.911764706,8.376946567,2.666441962,1.047815062,"[0, 4, 5, 6, 8]","['nf', 'f', 'f']",2348.277652,max_weight_bound,1,cost weights,[1. 1.],16:41.6
0.017797973,0.037003208,1,1,1.663648694,0.522432812,0.209741672,"[0, 1, 2, 4, 6]","['f', 'f', 'f']",2324.519048,max_weight_bound,1,cost weights,[1. 1.],07:02.3
0.981818795,1.203256249,0.965116279,0.941176471,5.268662562,1.814766826,1.006614007,"[0, 2, 4, 6, 8]","['f', 'f', 'f']",2315.671503,max_weight_bound,1,cost weights,[1. 1.],13:51.2
0.397244781,0.712158322,0.662790698,0.676470588,4.540301503,1.815038772,1.134270668,"[0, 1, 3, 4, 7]","['f', 'f', 'f']",2314.148767,max_weight_bound,1,cost weights,[1. 1.],08:01.3
0.970002532,0.889873028,1,0.970588235,3.344679269,1.355704938,1.082159683,"[0, 1, 3, 5, 8]","['f', 'f', 'f']",2310.596676,max_weight_bound,1,cost weights,[1. 1.],08:40.2
1.365107179,1.89425683,0.686046512,0.705882353,8.577276069,2.515849594,1.181906819,"[0, 3, 4, 7, 8]","['nf', 'f', 'f']",2310.525688,max_weight_bound,1,cost weights,[1. 1.],15:56.9
0.017633229,0.037667353,1,1,1.722137039,0.523468976,0.209741672,"[0, 1, 2, 4, 5]","['f', 'f']",2272.830272,max_weight_bound,1,cost weights,[1. 1.],06:59.3
0.961304009,0.882667482,1,1,5.41758923,1.823503501,1.155571744,"[0, 2, 4, 5, 8]","['f', 'f', 'f']",2259.729092,max_weight_bound,1,cost weights,[1. 1.],13:31.1
0.020194961,0.034882464,1,0.970588235,1.267759453,0.513256842,0.258350213,"[0, 1, 4, 6, 7]","['f', 'f', 'f']",2249.569055,max_weight_bound,1,cost weights,[1. 1.],09:59.6
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[0, 4, 6, 7, 8]","['nf', 'nf', 'f']",2239.60683,max_weight_bound,1,cost weights,[1. 1.],16:56.2
0.959380627,1.177913904,1,0.970588235,3.15141704,1.401118965,1.009326436,"[0, 1, 5, 6, 8]","['f', 'f', 'f']",2230.261798,max_weight_bound,1,cost weights,[1. 1.],10:33.7
0.916638017,1.168472528,1,1,3.566162203,1.405097865,1.013370313,"[0, 1, 2, 6, 8]","['f', 'f']",2224.013017,max_weight_bound,1,cost weights,[1. 1.],07:20.4
1.337202907,1.856185079,0.662790698,0.676470588,6.406898224,2.237553255,1.135878995,"[0, 1, 3, 7, 8]","['f', 'f', 'f']",2191.106488,max_weight_bound,1,cost weights,[1. 1.],09:04.4
0.432311594,0.713482559,0.651162791,0.647058824,4.895578642,1.812720272,1.129880831,"[0, 1, 2, 4, 7]","['f', 'f', 'f']",2182.73092,max_weight_bound,1,cost weights,[1. 1.],07:05.3
1.364319921,1.889021516,0.686046512,0.705882353,8.364535849,2.54835786,1.157723665,"[0, 2, 4, 7, 8]","['f', 'f', 'f']",2160.359648,max_weight_bound,1,cost weights,[1. 1.],14:01.0
1.036907315,0.934443951,1,1,3.725232012,1.369024669,1.086174056,"[0, 1, 2, 5, 8]","['f', 'f', 'f']",2145.851468,max_weight_bound,1,cost weights,[1. 1.],07:17.2
0.020206673,0.034882437,1,0.970588235,1.286802252,0.513387879,0.258350213,"[0, 1, 6, 7, 8]","['f', 'f']",2122.505495,max_weight_bound,1,cost weights,[1. 1.],10:48.6
0.021513654,0.038435992,1,1,2.109238926,0.663179427,0.270602703,"[2, 3, 5, 6, 7]","['nf', 'f', 'f']",2074.395683,max_weight_bound,1,cost weights,[1. 1.],24:35.8
0.969975054,0.889815867,1,0.970588235,3.346029873,1.359714559,1.086208865,"[0, 1, 3, 4, 8]","['f', 'f', 'f']",2057.633592,max_weight_bound,1,cost weights,[1. 1.],08:12.0
1.331184387,1.845011115,0.651162791,0.647058824,6.797876055,2.233267131,1.129849017,"[0, 1, 2, 7, 8]","['f', 'f']",2052.576722,max_weight_bound,1,cost weights,[1. 1.],07:22.1
0.019818148,0.033849496,1,1,2.402413109,0.716751895,0.249204785,"[2, 3, 4, 5, 6]","['nf', 'f', 'f']",2027.461108,max_weight_bound,1,cost weights,[1. 1.],23:29.6
0.019915869,0.034759551,1,1,2.263574147,0.747136958,0.341457506,"[1, 2, 3, 5, 6]","['f', 'f', 'f']",2025.344308,max_weight_bound,1,cost weights,[1. 1.],18:07.5
0.969938815,0.889769733,1,0.970588235,3.308575361,1.361536533,1.088195726,"[0, 1, 4, 5, 8]","['f', 'f', 'f']",2005.908586,max_weight_bound,1,cost weights,[1. 1.],09:51.7
0.020467622,0.035903793,1,0.941176471,2.164418374,0.743561264,0.341457506,"[1, 2, 3, 4, 6]","['f', 'f', 'f']",1976.742185,max_weight_bound,1,cost weights,[1. 1.],17:32.5
0.02145806,0.03839951,1,1,2.238959967,0.746720282,0.341457506,"[1, 2, 3, 6, 7]","['f', 'f', 'f']",1949.226186,max_weight_bound,1,cost weights,[1. 1.],18:38.0
