mse-inside,mse_outside,const satisfaction-train,const satisfaction-test,l_1 norm,l_2 norm,l_inf norm,selected nodes,feasibility,cost,,,,,
0.959426343,1.177929521,1,0.970588235,3.152607576,1.401153182,1.009284593,"[0, 1, 4, 6, 8]","['f', 'f', 'f']",1947.96248,max_weight_bound,1,cost weights,[1. 1.],10:08.2
1.337036371,1.856036782,0.662790698,0.676470588,6.407518334,2.237580705,1.135821864,"[0, 1, 4, 7, 8]","['f', 'f', 'f']",1945.380144,max_weight_bound,1,cost weights,[1. 1.],10:16.2
0.970757365,1.192315102,1,1,4.026923911,1.470329995,0.981607355,"[1, 2, 3, 6, 8]","['f', 'f', 'f']",1933.454123,max_weight_bound,1,cost weights,[1. 1.],18:47.5
0.020644307,0.035696819,1,1,2.493308783,0.718635952,0.249204785,"[3, 4, 5, 6, 7]","['f', 'f']",1815.874127,max_weight_bound,1,cost weights,[1. 1.],25:48.3
0.021356601,0.038162738,1,1,2.192202512,0.664537393,0.270602703,"[3, 5, 6, 7, 8]","['f', 'f']",1701.892244,max_weight_bound,1,cost weights,[1. 1.],26:24.5
0.960043371,1.179007411,1,1,4.309906075,1.464595132,0.992723681,"[3, 4, 5, 6, 8]","['f', 'f']",1631.321579,max_weight_bound,1,cost weights,[1. 1.],26:02.8
0.400052756,0.71650058,0.674418605,0.705882353,5.418196543,1.893630859,1.12047112,"[1, 2, 3, 5, 7]","['f', 'f', 'f']",1600.964368,max_weight_bound,1,cost weights,[1. 1.],18:17.8
0.400910378,0.718461514,0.686046512,0.705882353,5.317994433,1.892623065,1.114397287,"[1, 2, 4, 5, 7]","['f', 'f', 'f']",1594.987129,max_weight_bound,1,cost weights,[1. 1.],19:26.7
0.021171765,0.037689831,1,1,2.252907564,0.746015524,0.341457506,"[1, 2, 5, 6, 7]","['f', 'f', 'f']",1579.610791,max_weight_bound,1,cost weights,[1. 1.],20:19.6
0.024964323,0.045303788,1,0.970588235,4.179662401,1.223687206,0.509595096,"[3, 4, 6, 7, 8]","['f', 'f']",1517.553408,max_weight_bound,1,cost weights,[1. 1.],26:20.9
1.3492167,1.87199676,0.686046512,0.705882353,7.202716471,2.286800311,1.114751115,"[1, 2, 5, 7, 8]","['f', 'f', 'f']",1489.524044,max_weight_bound,1,cost weights,[1. 1.],20:38.9
0.020696839,0.036487501,1,1,2.419153911,0.754835556,0.341457506,"[1, 2, 3, 4, 5]","['f', 'f']",1479.307834,max_weight_bound,1,cost weights,[1. 1.],17:20.2
1.340320706,1.861488461,0.662790698,0.705882353,7.489179373,2.278217858,1.126231745,"[3, 4, 5, 7, 8]","['f', 'f']",1448.240968,max_weight_bound,1,cost weights,[1. 1.],26:17.5
0.060726974,0.111751691,1,0.911764706,7.173197351,2.269260096,0.962950096,"[4, 5, 6, 7, 8]","['f', 'f']",1430.435785,max_weight_bound,1,cost weights,[1. 1.],26:28.7
0.965159416,0.881446004,1,1,4.313287952,1.495859138,1.10257487,"[1, 2, 3, 5, 8]","['f', 'f', 'f']",1407.297567,max_weight_bound,1,cost weights,[1. 1.],18:28.6
0.400744498,0.7182284,0.686046512,0.705882353,5.275100137,1.886559854,1.108824119,"[1, 2, 3, 4, 7]","['f', 'f', 'f']",1381.319052,max_weight_bound,1,cost weights,[1. 1.],17:44.7
0.962807178,0.879087925,1,1,4.190838178,1.499631031,1.100268528,"[1, 2, 3, 4, 8]","['f', 'f', 'f']",1364.296316,max_weight_bound,1,cost weights,[1. 1.],17:57.0
0.020430058,0.035999559,1,1,2.195237395,0.7437044,0.341457506,"[1, 2, 4, 5, 6]","['f', 'f', 'f']",1343.191504,max_weight_bound,1,cost weights,[1. 1.],19:12.0
1.350699544,1.874069691,0.686046512,0.705882353,7.121909625,2.271803966,1.105682358,"[1, 2, 3, 7, 8]","['f', 'f', 'f']",1339.714341,max_weight_bound,1,cost weights,[1. 1.],18:57.2
0.968661964,1.189738154,1,1,4.079175661,1.481016469,0.978348292,"[1, 2, 5, 6, 8]","['f', 'f', 'f']",1254.878775,max_weight_bound,1,cost weights,[1. 1.],20:28.8
0.021169173,0.037477538,1,1,2.305691543,0.748360546,0.341457506,"[1, 2, 4, 6, 7]","['f', 'f', 'f']",1225.507018,max_weight_bound,1,cost weights,[1. 1.],19:50.7
0.967708707,1.188263893,1,0.970588235,4.075854775,1.466577228,0.978774823,"[1, 2, 4, 6, 8]","['f', 'f', 'f']",1193.119525,max_weight_bound,1,cost weights,[1. 1.],20:00.6
0.021303533,0.037959546,1,1,2.253689348,0.74723965,0.341457506,"[1, 2, 6, 7, 8]","['f', 'f']",1165.735293,max_weight_bound,1,cost weights,[1. 1.],20:47.2
1.348369956,1.87113142,0.686046512,0.705882353,7.192798006,2.275835249,1.112780496,"[1, 2, 4, 7, 8]","['f', 'f', 'f']",1050.03068,max_weight_bound,1,cost weights,[1. 1.],20:10.2
0.962409198,0.878854632,1,1,4.232803536,1.50327163,1.105103418,"[1, 2, 4, 5, 8]","['f', 'f', 'f']",978.0924544,max_weight_bound,1,cost weights,[1. 1.],19:41.2
,,,,,,,,,,,,,,
0.019802812,0.034272965,,,,,,,,,,,,,
28,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,What is removed:,,,,,,,,,,,,
,,the ones with infeasible error,,,,,,,,,,,,
,,the ones that selected all nodes in the first layer,,,,,,,,,,,,
