
Gurobi 9.5.0 (win64) logging started Tue Jun 28 16:26:13 2022

Set parameter LogFile to value "C:\Users\kmajd1\Documents\NNRepLayer_v2\demos\walking_example\dynamic_constraint\repair_net/logs/opt_log_6_28_2022_16_18_43.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 8 physical cores, 16 logical processors, using up to 16 threads
Optimize a model with 213067 rows, 136399 columns and 1380619 nonzeros
Model fingerprint: 0x1a11d248
Model has 270 quadratic objective terms
Variable types: 57007 continuous, 79392 integer (79392 binary)
Coefficient statistics:
  Matrix range     [2e-04, 5e+01]
  Objective range  [5e-04, 2e+00]
  QObjective range [7e-02, 7e-02]
  Bounds range     [1e+00, 5e+01]
  RHS range        [3e-05, 5e+01]
Presolve removed 130140 rows and 51840 columns (presolve time = 5s) ...
Presolve removed 130140 rows and 51840 columns (presolve time = 10s) ...
Presolve removed 130140 rows and 51840 columns
Presolve time: 11.67s
Presolved: 82927 rows, 84559 columns, 1172719 nonzeros
Presolved model has 270 quadratic objective terms
Variable types: 57007 continuous, 27552 integer (27552 binary)
Root relaxation presolve removed 29184 rows and 27552 columns (presolve time = 5s) ...
Root relaxation presolve removed 29184 rows and 27552 columns
Root relaxation presolved: 53743 rows, 57007 columns, 1114351 nonzeros
Root relaxation presolved model has 270 quadratic objective terms


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  449472   -1.2830572e+02   6.225273e+03   0.000000e+00    845s
  452048   -1.2821940e+02   9.558194e+03   0.000000e+00    851s
  454269   -1.2816350e+02   7.951647e+03   0.000000e+00    856s
  456430   -1.2810819e+02   5.305018e+03   0.000000e+00    860s
  458682   -1.2797762e+02   5.852693e+03   0.000000e+00    865s
  460860   -1.2782862e+02   7.659719e+03   0.000000e+00    870s
  463077   -1.2776808e+02   5.880050e+03   0.000000e+00    875s
  465371   -1.2770958e+02   1.206503e+04   0.000000e+00    880s
  467604   -1.2764232e+02   5.658059e+03   0.000000e+00    885s
  469787   -1.2750662e+02   5.874942e+03   0.000000e+00    890s
  471952   -1.2744795e+02   7.931944e+03   0.000000e+00    895s
  474111   -1.2734459e+02   9.929563e+03   0.000000e+00    900s
  476571   -1.2728510e+02   6.891919e+03   0.000000e+00    906s
  478808   -1.2720925e+02   1.277995e+04   0.000000e+00    911s
  480781   -1.2707331e+02   1.158699e+04   0.000000e+00    916s
  482658   -1.2697225e+02   1.130699e+04   0.000000e+00    920s
Warning: 1 variables dropped from basis
  485543    2.7521229e+01   2.851571e+05   0.000000e+00    926s
  487825    2.7521229e+01   1.912589e+06   0.000000e+00    931s
  490209    2.7521229e+01   1.785494e+06   0.000000e+00    935s
  493615   -3.0695482e+02   4.322132e+05   0.000000e+00    941s
  496471   -3.0525915e+02   3.407338e+05   0.000000e+00    946s
  498577   -3.0385079e+02   3.729317e+06   0.000000e+00    951s
  500069   -3.0322544e+02   4.566510e+05   0.000000e+00    955s
  501931   -3.0246194e+02   3.563542e+07   0.000000e+00    960s
  504059   -3.0039714e+02   7.067738e+05   0.000000e+00    965s
  505903   -2.9948535e+02   3.855082e+07   0.000000e+00    971s
  507479   -2.9896675e+02   2.438849e+07   0.000000e+00    975s
  509291   -2.9839733e+02   1.517700e+07   0.000000e+00    981s
  510880   -2.9765997e+02   1.568084e+07   0.000000e+00    986s
  512417   -2.9721065e+02   6.651209e+06   0.000000e+00    990s
  514357   -2.9639904e+02   2.034231e+07   0.000000e+00    996s
  515907   -2.9577086e+02   5.641514e+05   0.000000e+00   1001s
  517519   -2.9520648e+02   5.938798e+06   0.000000e+00   1005s
  519405   -2.9469427e+02   4.749086e+05   0.000000e+00   1011s
  520956   -2.9417680e+02   4.420531e+05   0.000000e+00   1016s
  522484   -2.9342951e+02   1.923572e+06   0.000000e+00   1020s
  524482   -2.9260900e+02   5.148284e+06   0.000000e+00   1026s
  526022   -2.9219301e+02   1.066736e+07   0.000000e+00   1030s
  527649   -8.1147953e+03   1.121232e+12   0.000000e+00   1035s
Warning: 1 variables dropped from basis
  529498    2.7521229e+01   6.930257e+05   0.000000e+00   1041s
  531457    2.7521229e+01   2.705613e+05   0.000000e+00   1046s
  533356    2.7521229e+01   1.038630e+06   0.000000e+00   1051s
  535242    2.7521229e+01   1.130586e+06   0.000000e+00   1056s
  536779    2.7521229e+01   4.103005e+06   0.000000e+00   1060s
  538761    2.7521229e+01   4.931659e+06   0.000000e+00   1066s
  540639   -3.2779442e+02   4.523247e+05   0.000000e+00   1070s
  542542   -3.2583221e+02   1.244045e+06   0.000000e+00   1076s
  544359   -3.2401269e+02   6.888930e+05   0.000000e+00   1080s
  546519   -3.2288023e+02   1.872060e+07   0.000000e+00   1086s
  547995   -3.2236341e+02   9.611279e+05   0.000000e+00   1091s
  549525   -3.2157625e+02   1.346905e+07   0.000000e+00   1095s
Warning: 1 variables dropped from basis
  551257    2.7521229e+01   1.224032e+06   0.000000e+00   1100s
  553229    2.7521229e+01   1.308590e+06   0.000000e+00   1106s
  554620    2.7521229e+01   7.583418e+05   0.000000e+00   1110s
  556637    2.7521229e+01   3.237127e+07   0.000000e+00   1116s
